m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
   999.871    3.4060    0.0557
  1200.232    3.4080    0.0499
  1239.840    3.4090    0.0489
  1499.927    3.4120    0.0436
  2000.065    3.4160    0.0366
  2479.680    3.4180    0.0322
  2999.855    3.4210    0.0287
  3999.484    3.4240    0.0241
  4999.355    3.4260    0.0211
  6199.200    3.4280    0.0185
  7000.791    3.4290    0.0172
  8997.388    3.4310    0.0148
  9998.710    3.4320    0.0138
 11001.240    3.4320    0.0126
 12398.400    3.4330    0.0112
 14999.270    3.4340    0.0093
 20000.641    3.4340    0.0069
 24796.801    3.4340    0.0056
 29998.551    3.4350    0.0046
 49993.551    3.4350    0.0028
 61992.000    3.4350    0.0022
 70007.906    3.4350    0.0020
 99987.102    3.4350    0.0014
123984.000    1.0011    0.0000
